Kinase_name,Accession,Gene_symbol,Gene_family,Cell_location,Genome_location,Protein_longname
ULK2_HUMAN,Q8IYT8,ULK2,Protein kinase superfamily  Ser/Thr protein kinase family  APG1/unc-51/ULK1 subfamily,Cytoplasmic vesicle membrane Peripheral membrane protein,17p11.2,Serine/threonine-protein kinase ULK2  
ULK3_HUMAN,Q6PHR2,ULK3,Protein kinase superfamily  Ser/Thr protein kinase family  APG1/unc-51/ULK1 subfamily,Cytoplasm,15q24.1,Serine/threonine-protein kinase ULK3  
ULK4_HUMAN,Q96C45,ULK4,Protein kinase superfamily  Ser/Thr protein kinase family  APG1/unc-51/ULK1 subfamily,Cytoplasm,3p22.1,Serine/threonine-protein kinase ULK4  
VGFR1_HUMAN,P17948,FLT1,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection  ruffle membrane. Cytoplasm  cytosol. Cytoplasm  cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space,13q12.3,Vascular endothelial growth factor receptor 1 
VGFR2_HUMAN,P35968,KDR,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell junction Endoplasmic reticulum,4q12,Vascular endothelial growth factor receptor 2 
VGFR3_HUMAN,P35916,FLT4,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Single-pass type I membrane protein. Cytoplasm Nucleus,5q35.3,Vascular endothelial growth factor receptor 3 
VRK1_HUMAN,Q99986,VRK1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  VRK subfamily,Cytoplasm. Nucleus. Cytoplasm  cytoskeleton  spindle,14q32.2,Serine/threonine-protein kinase VRK1  
VRK2_HUMAN,Q86Y07,VRK2,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  VRK subfamily,Isoform 1: Cytoplasm. Endoplasmic reticulum membrane Single-pass type IV membrane protein Mitochondrion membrane Single-pass type IV membrane protein,2p16.1,Serine/threonine-protein kinase VRK2  
VRK3_HUMAN,Q8IV63,VRK3,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  VRK subfamily,Nucleus,19q13.33,Inactive serine/threonine-protein kinase VRK3 
WEE1_HUMAN,P30291,WEE1,Protein kinase superfamily  Ser/Thr protein kinase family  WEE1 subfamily,Cytoplasm,11p15.4,Wee1-like protein kinase 
WEE2_HUMAN,P0C1S8,WEE2,Protein kinase superfamily  Ser/Thr protein kinase family  WEE1 subfamily,Nucleus,7q34,Wee1-like protein kinase 2  
WNK1_HUMAN,Q9H4A3,WNK1,Protein kinase superfamily  Ser/Thr protein kinase family  WNK subfamily,Cytoplasm,12p13.33,Serine/threonine-protein kinase WNK1  
WNK2_HUMAN,Q9Y3S1,WNK2,Protein kinase superfamily  Ser/Thr protein kinase family  WNK subfamily,Cytoplasm Cell membrane,9q22.31,Serine/threonine-protein kinase WNK2  
WNK3_HUMAN,Q9BYP7,WNK3,Protein kinase superfamily  Ser/Thr protein kinase family  WNK subfamily,Cytoplasm,Xp11.22,Serine/threonine-protein kinase WNK3  
WNK4_HUMAN,Q96J92,WNK4,Protein kinase superfamily  Ser/Thr protein kinase family  WNK subfamily,Cell junction  tight junction,17q21.2,Serine/threonine-protein kinase WNK4  
YES_HUMAN,P07947,YES1,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus Cell membrane Peripheral membrane protein,18p11.32,Tyrosine-protein kinase Yes  
ZAP70_HUMAN,P43403,ZAP70,Protein kinase superfamily  Tyr protein kinase family  SYK/ZAP-70 subfamily,Cytoplasm Cell membrane Peripheral membrane protein,2q11.2,Tyrosine-protein kinase ZAP-70  
